date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:13	39613/39613	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:13%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=4170&act=dispMemberFindAccount	C:/My%20Web%20Sites/roshop/www.bareungak.com/indexbf19.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=4170)
11:56:13	53281/53281	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:13%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=7325	C:/My%20Web%20Sites/roshop/www.bareungak.com/indexa81a-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=7325)
11:56:13	89738/89738	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:13%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=7325&act=dispMemberSignUpForm	C:/My%20Web%20Sites/roshop/www.bareungak.com/index9a25.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=7325)
11:56:13	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4e1b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1)
11:56:13	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4e2b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1)
11:56:13	39613/39613	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:14%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=7325&act=dispMemberFindAccount	C:/My%20Web%20Sites/roshop/www.bareungak.com/index0d84.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=7325)
11:56:14	39163/39163	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:14%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1	C:/My%20Web%20Sites/roshop/www.bareungak.com/index1751-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1)
11:56:14	88653/88653	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:14%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1&act=dispMemberSignUpForm	C:/My%20Web%20Sites/roshop/www.bareungak.com/index68c0.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1)
11:56:14	38500/38500	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:14%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1&act=dispMemberFindAccount	C:/My%20Web%20Sites/roshop/www.bareungak.com/indexcf0b.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1)
11:56:14	53647/53647	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:14%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1&document_srl=4170	C:/My%20Web%20Sites/roshop/www.bareungak.com/index2e4b.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1)
11:56:14	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4e7b163.delayed	(from https://www.bareungak.com/?mid=community_fivem_tipboard&document_srl=7325)
11:56:14	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4e8b163.delayed	(from https://www.bareungak.com/?mid=community_fivem_tipboard&document_srl=7325)
11:56:15	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4e9b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberSignUpForm)
11:56:15	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4eab163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberSignUpForm)
11:56:15	53531/53531	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:15%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1&document_srl=7325	C:/My%20Web%20Sites/roshop/www.bareungak.com/index65ec.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&page=1)
11:56:15	33005/33005	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2026%20May%202020%2002:56:15%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberInfo	C:/My%20Web%20Sites/roshop/www.bareungak.com/index3397.php	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberSignUpForm)
11:56:15	89113/89113	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:15%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberSignUpForm	C:/My%20Web%20Sites/roshop/www.bareungak.com/index2b39-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberSignUpForm)
11:56:15	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4ecb163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberFindAccount)
11:56:15	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4edb163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberFindAccount)
11:56:15	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4eeb163.delayed	(from https://www.bareungak.com/?mid=community_fivem_tipboard&document_srl=4170)
11:56:16	38872/38872	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:16%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberFindAccount	C:/My%20Web%20Sites/roshop/www.bareungak.com/indexd3ac-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=7325&act=dispMemberFindAccount)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4efb163.delayed	(from https://www.bareungak.com/?mid=community_fivem_tipboard&document_srl=4170)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4f0b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberSignUpForm)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4f1b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberSignUpForm)
11:56:16	33005/33005	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2026%20May%202020%2002:56:16%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberInfo	C:/My%20Web%20Sites/roshop/www.bareungak.com/index66ad.php	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberSignUpForm)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4f3b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberFindAccount)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4f4b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberFindAccount)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4f5b163.delayed	(from https://www.bareungak.com/?mid=community_fivem_tipboard&page=1)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4f6b163.delayed	(from https://www.bareungak.com/?mid=community_fivem_tipboard&page=1)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4f7b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&page=1&act=dispMemberSignUpForm)
11:56:16	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4f8b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&page=1&act=dispMemberSignUpForm)
11:56:16	89113/89113	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:17%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberSignUpForm	C:/My%20Web%20Sites/roshop/www.bareungak.com/index6b4f-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberSignUpForm)
11:56:16	38872/38872	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:17%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberFindAccount	C:/My%20Web%20Sites/roshop/www.bareungak.com/index6bcf-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&document_srl=4170&act=dispMemberFindAccount)
11:56:17	32873/32873	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2026%20May%202020%2002:56:17%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&page=1&act=dispMemberInfo	C:/My%20Web%20Sites/roshop/www.bareungak.com/indexee3b.php	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&page=1&act=dispMemberSignUpForm)
11:56:17	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4fab163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&page=1&act=dispMemberFindAccount)
11:56:17	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4fbb163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&page=1&act=dispMemberFindAccount)
11:56:17	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4fcb163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&page=1&document_srl=7325)
11:56:17	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4fdb163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&page=1&document_srl=7325)
